target	status	commit	ci_job
flames | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772153817
fmriprep | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300915011
freesurfer | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300915140
fsl | x86_64	success	868380067fa08e42c2f88cf548e9a9136c093976	https://github.com/neurodesk/neurocontainers/actions/runs/34315574052/job/102350987506
fsqc | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772154012
functionnectome | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300915721
functionnectome_arm64 | aarch64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298658178/job/102300709035
gigaconnectome | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772154189
gimp | x86_64	success	237eeab254d4478355d43ac88eb32ae8f1aacd24	https://github.com/neurodesk/neurocontainers/actions/runs/34130947151/job/101770701538
gimp_arm64 | aarch64	success	237eeab254d4478355d43ac88eb32ae8f1aacd24	https://github.com/neurodesk/neurocontainers/actions/runs/34130947151/job/101770701416
gingerale | x86_64	success	b7f552bdae0a52db20616daa26a91af604b738d9	https://github.com/neurodesk/neurocontainers/actions/runs/34139410693/job/101797825483
gliomoda | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772154781
glmsingle | x86_64	success	13fdb1eba6feac899cd9c66e466efc1772c0a597	https://github.com/neurodesk/neurocontainers/actions/runs/34315497170/job/102350770796
glmsingle_arm64 | aarch64	success	13fdb1eba6feac899cd9c66e466efc1772c0a597	https://github.com/neurodesk/neurocontainers/actions/runs/34315497170/job/102350770839
globus | x86_64	success	69901ceee8f6315aa7d6cece357ad72d7817b9a2	https://github.com/neurodesk/neurocontainers/actions/runs/34300461592/job/102306111478
globus_arm64 | aarch64	success	69901ceee8f6315aa7d6cece357ad72d7817b9a2	https://github.com/neurodesk/neurocontainers/actions/runs/34300461592/job/102306111504
gouhfi | x86_64	success	4002db21ea32127232f7dd3fcf57bba5088998e5	https://github.com/neurodesk/neurocontainers/actions/runs/34315697258/job/102351363747
gouhfi_arm64 | aarch64	success	4002db21ea32127232f7dd3fcf57bba5088998e5	https://github.com/neurodesk/neurocontainers/actions/runs/34315697258/job/102351363787
halfpipe | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772155007
hcpasl | x86_64	success	d19ee590f94728dbfeeb529c4813b130db2cefa2	https://github.com/neurodesk/neurocontainers/actions/runs/34316405407/job/102353485778
hdbet | x86_64	success	396c5013c639845b4cd609dcc0822680f6fae027	https://github.com/neurodesk/neurocontainers/actions/runs/34315446561/job/102350624694
hdbet_arm64 | aarch64	success	396c5013c639845b4cd609dcc0822680f6fae027	https://github.com/neurodesk/neurocontainers/actions/runs/34315446561/job/102350624653
heudiconv | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300916009
